"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","936"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","85"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","133"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP","11"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS","5"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS","7"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","55"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B11","MANDATORY IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","41"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B14","MANDATORY OUT OF SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","D-EXPULSION ACTIONS","C10","WHITE","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","E-DAEP PLACEMENTS","C13","HISPANIC","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","E-DAEP PLACEMENTS","C15","WHITE","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","G-IN SCHOOL SUSPENSIONS","C24","NATIVE AMERICAN","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","G-IN SCHOOL SUSPENSIONS","C25","WHITE","61"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","I-SPEC. ED. EXPULSIONS","D04","SPEC. ED. STUDENTS EXPELLED","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","I-SPEC. ED. EXPULSIONS","D05","SPEC. ED. EXPULSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","J-SPEC. ED. DAEP PLACEMENTS","D07","SPEC. ED. STUDENTS IN DAEP PLACEMENT","5"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","J-SPEC. ED. DAEP PLACEMENTS","D08","SPEC. ED. DAEP PLACEMENTS","6"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","J-SPEC. ED. DAEP PLACEMENTS","D09","NON SPEC. ED. DAEP PLACEMENTS","6"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","K-SPEC. ED. OUT OF SCHOOL SUS.","D10","SPEC. ED. STUDENTS OUT OF SCHOOL SUS.","14"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","K-SPEC. ED. OUT OF SCHOOL SUS.","D11","SPEC. ED. OUT OF SCHOOL SUSPEN","21"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","K-SPEC. ED. OUT OF SCHOOL SUS.","D12","NON SPEC. ED. OUT OF SCHOOL SUSPEN","32"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","L-SPEC. ED. IN SCHOOL SUS.","D13","SPEC. ED. STUDENTS IN SCHOOL SUSPEN","13"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","L-SPEC. ED. IN SCHOOL SUS.","D14","SPEC. ED. IN SCHOOL SUSPEN","15"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","L-SPEC. ED. IN SCHOOL SUS.","D15","NON SPEC. ED. IN SCHOOL SUSPEN","52"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","N-ECO. DISADV. EXPULSIONS","E05","ECO. DISAD. STUDENTS EXPELLED","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","N-ECO. DISADV. EXPULSIONS","E06","ECO. DISAD. EXPULSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","O-ECO. DISADV. DAEP PLACEMENTS","E09","ECO. DISAD. STUDENTS PLACED IN DAEP","7"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","O-ECO. DISADV. DAEP PLACEMENTS","E10","ECO. DISAD. DAEP PLACEMENTS","7"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","O-ECO. DISADV. DAEP PLACEMENTS","E11","NON ECO. DISAD. DAEP PLACEMENTS","5"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","P-ECO. DISADV. OUT OF SCHOOL SUS.","E13","ECO. DISAD. STUDENTS OUT OF SCHOOL SUS","23"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","P-ECO. DISADV. OUT OF SCHOOL SUS.","E14","ECO. DISAD. OUT OF SCHOOL SUSPEN","29"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","P-ECO. DISADV. OUT OF SCHOOL SUS.","E15","NON ECO. DISAD. OUT OF SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","P-ECO. DISADV. OUT OF SCHOOL SUS.","E16","UNKNOWN ECO STATUS OUT OF SCH SUSPEN","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","Q-ECO. DISADV. IN SCHOOL SUS.","E17","ECO DISAD. STUDENTS SUSPEN IN SCHOOL","29"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","Q-ECO. DISADV. IN SCHOOL SUS.","E18","ECO DISAD. IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","Q-ECO. DISADV. IN SCHOOL SUS.","E19","NON ECO DISAD. IN SCHOOL SUSPENSIONS","35"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","Q-ECO. DISADV. IN SCHOOL SUS.","E20","UNKNOWN ECO STATUS IN SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","S-AT RISK EXPULSIONS","F05","AT RISK STUDENTS EXPELLED","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","S-AT RISK EXPULSIONS","F06","AT RISK EXPULSIONS","-99999999"
"DISTRICT SUMMARY","07","ALBA-GOLDEN ISD","250906","T-AT RISK DAEP PLACEMENTS","F09","AT RISK STUDENTS PLACED IN DAEP","10"
