"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","396"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","44"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","107"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","39"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B11","MANDATORY IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","18"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B14","MANDATORY OUT OF SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","D-EXPULSION ACTIONS","C10","WHITE","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","E-DAEP PLACEMENTS","C13","HISPANIC","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","E-DAEP PLACEMENTS","C15","WHITE","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","26"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","5"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","59"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","G-IN SCHOOL SUSPENSIONS","C25","WHITE","13"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","I-SPEC. ED. EXPULSIONS","D06","NON SPEC. ED. EXPULSIONS","-99999999"
"DISTRICT SUMMARY","02","AGUA DULCE ISD","178901","J-SPEC. ED. DAEP PLACEMENTS","D09","NON SPEC. ED. DAEP PLACEMENTS","-99999999"
