"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","1052"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","145"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","199"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED","35"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS","37"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","128"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","159"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","D-EXPULSION ACTIONS","C06","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","D-EXPULSION ACTIONS","C08","HISPANIC","22"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","D-EXPULSION ACTIONS","C09","NATIVE AMERICAN","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","D-EXPULSION ACTIONS","C10","WHITE","7"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","F-OUT OF SCHOOL SUSPENSIONS","C16","AFRICAN AMERICAN","35"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","99"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","F-OUT OF SCHOOL SUSPENSIONS","C19","NATIVE AMERICAN","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","G-IN SCHOOL SUSPENSIONS","C21","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","I-SPEC. ED. EXPULSIONS","D04","SPEC. ED. STUDENTS EXPELLED","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","I-SPEC. ED. EXPULSIONS","D05","SPEC. ED. EXPULSIONS","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","I-SPEC. ED. EXPULSIONS","D06","NON SPEC. ED. EXPULSIONS","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","K-SPEC. ED. OUT OF SCHOOL SUS.","D10","SPEC. ED. STUDENTS OUT OF SCHOOL SUS.","13"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","K-SPEC. ED. OUT OF SCHOOL SUS.","D11","SPEC. ED. OUT OF SCHOOL SUSPEN","19"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","K-SPEC. ED. OUT OF SCHOOL SUS.","D12","NON SPEC. ED. OUT OF SCHOOL SUSPEN","140"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","L-SPEC. ED. IN SCHOOL SUS.","D15","NON SPEC. ED. IN SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","N-ECO. DISADV. EXPULSIONS","E05","ECO. DISAD. STUDENTS EXPELLED","21"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","N-ECO. DISADV. EXPULSIONS","E06","ECO. DISAD. EXPULSIONS","21"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","N-ECO. DISADV. EXPULSIONS","E07","NON ECO. DISAD. EXPULSIONS","11"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","N-ECO. DISADV. EXPULSIONS","E08","UNKNOWN ECO. STATUS EXPULSIONS","5"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","P-ECO. DISADV. OUT OF SCHOOL SUS.","E13","ECO. DISAD. STUDENTS OUT OF SCHOOL SUS","82"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","P-ECO. DISADV. OUT OF SCHOOL SUS.","E14","ECO. DISAD. OUT OF SCHOOL SUSPEN","102"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","P-ECO. DISADV. OUT OF SCHOOL SUS.","E15","NON ECO. DISAD. OUT OF SCHOOL SUSPEN","48"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","P-ECO. DISADV. OUT OF SCHOOL SUS.","E16","UNKNOWN ECO STATUS OUT OF SCH SUSPEN","9"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","Q-ECO. DISADV. IN SCHOOL SUS.","E17","ECO DISAD. STUDENTS SUSPEN IN SCHOOL","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","Q-ECO. DISADV. IN SCHOOL SUS.","E18","ECO DISAD. IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","Q-ECO. DISADV. IN SCHOOL SUS.","E20","UNKNOWN ECO STATUS IN SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","S-AT RISK EXPULSIONS","F05","AT RISK STUDENTS EXPELLED","22"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","S-AT RISK EXPULSIONS","F06","AT RISK EXPULSIONS","24"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","S-AT RISK EXPULSIONS","F07","NON AT RISK EXPULSIONS","8"
"DISTRICT SUMMARY","10","A+ ACADEMY","057829","S-AT RISK EXPULSIONS","F08","UNKNOWN AT RISK STATUS EXPULSIONS","5"
