"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","177"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","26"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","37"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","14"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","20"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","16"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","17"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","-99999999"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","-99999999"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","12"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","G-IN SCHOOL SUSPENSIONS","C25","WHITE","8"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","K-SPEC. ED. OUT OF SCHOOL SUS.","D12","NON SPEC. ED. OUT OF SCHOOL SUSPEN","17"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","L-SPEC. ED. IN SCHOOL SUS.","D13","SPEC. ED. STUDENTS IN SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","L-SPEC. ED. IN SCHOOL SUS.","D14","SPEC. ED. IN SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","L-SPEC. ED. IN SCHOOL SUS.","D15","NON SPEC. ED. IN SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","03","AUSTWELL-TIVOLI ISD","196901","P-ECO. DISADV. OUT OF SCHOOL SUS.","E13","ECO. DISAD. STUDENTS OUT OF SCHOOL SUS","5"
