"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","502"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","70"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","220"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP","-99999999"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS","5"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","70"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","203"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","9"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","12"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","E-DAEP PLACEMENTS","C13","HISPANIC","-99999999"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","E-DAEP PLACEMENTS","C15","WHITE","-99999999"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","12"
"DISTRICT SUMMARY","09","ARCHER CITY ISD","005901","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","5"
