"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","18101"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","2534"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","8152"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B01","COUNT OF STUDENTS EXPELLED TO JJAEP","48"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B02","MANDATORY EXPULSIONS TO JJAEP","15"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B03","DISCRETIONARY EXPULSIONS TO JJAEP","34"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED","48"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B05","MANDATORY EXPULSIONS","16"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS","34"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP","716"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS","268"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS","994"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","2283"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B11","MANDATORY IN SCHOOL SUSPENSIONS","20"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","5981"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","496"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B14","MANDATORY OUT OF SCHOOL SUSPENSIONS","59"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","773"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","C-JJAEP EXPULSIONS","C01","AFRICAN AMERICAN","14"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","C-JJAEP EXPULSIONS","C03","HISPANIC","26"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","C-JJAEP EXPULSIONS","C05","WHITE","9"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","D-EXPULSION ACTIONS","C06","AFRICAN AMERICAN","14"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","D-EXPULSION ACTIONS","C08","HISPANIC","27"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","D-EXPULSION ACTIONS","C10","WHITE","9"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","E-DAEP PLACEMENTS","C11","AFRICAN AMERICAN","346"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","E-DAEP PLACEMENTS","C12","ASIAN","-99999999"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","E-DAEP PLACEMENTS","C13","HISPANIC","561"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","E-DAEP PLACEMENTS","C14","NATIVE AMERICAN","-99999999"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","E-DAEP PLACEMENTS","C15","WHITE","348"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","F-OUT OF SCHOOL SUSPENSIONS","C16","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","F-OUT OF SCHOOL SUSPENSIONS","C17","ASIAN","-99999999"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","373"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","F-OUT OF SCHOOL SUSPENSIONS","C19","NATIVE AMERICAN","-99999999"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","235"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","G-IN SCHOOL SUSPENSIONS","C21","AFRICAN AMERICAN","1525"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","G-IN SCHOOL SUSPENSIONS","C22","ASIAN","17"
"DISTRICT SUMMARY","14","ABILENE ISD","221901","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","2540"
