"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","263"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","80"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","274"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","56"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","166"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","54"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","108"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","F-OUT OF SCHOOL SUSPENSIONS","C16","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","F-OUT OF SCHOOL SUSPENSIONS","C17","ASIAN","-99999999"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","85"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","18"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","G-IN SCHOOL SUSPENSIONS","C21","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","G-IN SCHOOL SUSPENSIONS","C22","ASIAN","-99999999"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","125"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","G-IN SCHOOL SUSPENSIONS","C25","WHITE","34"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","K-SPEC. ED. OUT OF SCHOOL SUS.","D10","SPEC. ED. STUDENTS OUT OF SCHOOL SUS.","10"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","K-SPEC. ED. OUT OF SCHOOL SUS.","D11","SPEC. ED. OUT OF SCHOOL SUSPEN","28"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","K-SPEC. ED. OUT OF SCHOOL SUS.","D12","NON SPEC. ED. OUT OF SCHOOL SUSPEN","80"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","L-SPEC. ED. IN SCHOOL SUS.","D13","SPEC. ED. STUDENTS IN SCHOOL SUSPEN","8"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","L-SPEC. ED. IN SCHOOL SUS.","D14","SPEC. ED. IN SCHOOL SUSPEN","36"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","L-SPEC. ED. IN SCHOOL SUS.","D15","NON SPEC. ED. IN SCHOOL SUSPEN","130"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","P-ECO. DISADV. OUT OF SCHOOL SUS.","E13","ECO. DISAD. STUDENTS OUT OF SCHOOL SUS","28"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","P-ECO. DISADV. OUT OF SCHOOL SUS.","E14","ECO. DISAD. OUT OF SCHOOL SUSPEN","60"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","P-ECO. DISADV. OUT OF SCHOOL SUS.","E15","NON ECO. DISAD. OUT OF SCHOOL SUSPEN","21"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","P-ECO. DISADV. OUT OF SCHOOL SUS.","E16","UNKNOWN ECO STATUS OUT OF SCH SUSPEN","27"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","Q-ECO. DISADV. IN SCHOOL SUS.","E17","ECO DISAD. STUDENTS SUSPEN IN SCHOOL","30"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","Q-ECO. DISADV. IN SCHOOL SUS.","E18","ECO DISAD. IN SCHOOL SUSPENSIONS","95"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","Q-ECO. DISADV. IN SCHOOL SUS.","E19","NON ECO DISAD. IN SCHOOL SUSPENSIONS","39"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","Q-ECO. DISADV. IN SCHOOL SUS.","E20","UNKNOWN ECO STATUS IN SCHOOL SUSPEN","32"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","U-AT RISK OUT OF SCHOOL SUS.","F13","AT RISK STUDENTS OUT OF SCHOOL SUS","41"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","U-AT RISK OUT OF SCHOOL SUS.","F14","AT RISK OUT OF SCHOOL SUSPEN","81"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","U-AT RISK OUT OF SCHOOL SUS.","F16","UNKNOWN AT RISK STATUS OUT OF SCH SUS","27"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","V-AT RISK IN SCHOOL SUS.","F17","AT RISK STUDENTS SUSPEN IN SCHOOL","42"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","V-AT RISK IN SCHOOL SUS.","F18","AT RISK IN SCHOOL SUSPENSIONS","134"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","V-AT RISK IN SCHOOL SUS.","F20","UNKNOWN AT RISK STATUS IN SCH SUS.","32"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","W-REASON INCIDENT COUNTS","G21","21-VIOLATED LOCAL CODE OF CONDUCT","22"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","X-DISCIPLINE ACTION COUNTS","H05","05-OUT-OF-SCHOOL SUSPENSION","108"
"DISTRICT SUMMARY","20","ACADEMY OF CAREERS AND TECHNOLOGIE","015816","X-DISCIPLINE ACTION COUNTS","H06","06-IN-SCHOOL SUSPENSION","166"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","4858"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","377"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","920"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B01","COUNT OF STUDENTS EXPELLED TO JJAEP","6"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B02","MANDATORY EXPULSIONS TO JJAEP","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B03","DISCRETIONARY EXPULSIONS TO JJAEP","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED","6"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B05","MANDATORY EXPULSIONS","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP","81"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS","31"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS","69"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","336"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B11","MANDATORY IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","116"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B14","MANDATORY OUT OF SCHOOL SUSPENSIONS","35"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","124"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","C-JJAEP EXPULSIONS","C01","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","C-JJAEP EXPULSIONS","C03","HISPANIC","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","C-JJAEP EXPULSIONS","C05","WHITE","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","D-EXPULSION ACTIONS","C06","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","D-EXPULSION ACTIONS","C08","HISPANIC","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","D-EXPULSION ACTIONS","C10","WHITE","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","E-DAEP PLACEMENTS","C11","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","E-DAEP PLACEMENTS","C12","ASIAN","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","E-DAEP PLACEMENTS","C13","HISPANIC","58"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","E-DAEP PLACEMENTS","C15","WHITE","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","F-OUT OF SCHOOL SUSPENSIONS","C16","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","F-OUT OF SCHOOL SUSPENSIONS","C17","ASIAN","-99999999"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","86"
"DISTRICT SUMMARY","20","ALAMO HEIGHTS ISD","015901","F-OUT OF SCHOOL SUSPENSIONS","C20","WHITE","65"
