"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","1115"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","150"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","312"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP","36"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","140"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","261"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","E-DAEP PLACEMENTS","C11","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","E-DAEP PLACEMENTS","C13","HISPANIC","32"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","E-DAEP PLACEMENTS","C14","NATIVE AMERICAN","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","E-DAEP PLACEMENTS","C15","WHITE","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","F-OUT OF SCHOOL SUSPENSIONS","C18","HISPANIC","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","G-IN SCHOOL SUSPENSIONS","C21","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","G-IN SCHOOL SUSPENSIONS","C22","ASIAN","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","G-IN SCHOOL SUSPENSIONS","C23","HISPANIC","167"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","G-IN SCHOOL SUSPENSIONS","C24","NATIVE AMERICAN","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","G-IN SCHOOL SUSPENSIONS","C25","WHITE","86"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","J-SPEC. ED. DAEP PLACEMENTS","D07","SPEC. ED. STUDENTS IN DAEP PLACEMENT","10"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","J-SPEC. ED. DAEP PLACEMENTS","D08","SPEC. ED. DAEP PLACEMENTS","15"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","J-SPEC. ED. DAEP PLACEMENTS","D09","NON SPEC. ED. DAEP PLACEMENTS","35"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","K-SPEC. ED. OUT OF SCHOOL SUS.","D12","NON SPEC. ED. OUT OF SCHOOL SUSPEN","-99999999"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","L-SPEC. ED. IN SCHOOL SUS.","D13","SPEC. ED. STUDENTS IN SCHOOL SUSPEN","24"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","L-SPEC. ED. IN SCHOOL SUS.","D14","SPEC. ED. IN SCHOOL SUSPEN","48"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","L-SPEC. ED. IN SCHOOL SUS.","D15","NON SPEC. ED. IN SCHOOL SUSPEN","213"
"DISTRICT SUMMARY","18","ALPINE ISD","022901","O-ECO. DISADV. DAEP PLACEMENTS","E09","ECO. DISAD. STUDENTS PLACED IN DAEP","22"
